Date Added,Event ID,Event Title,Venue / Organization,Event Date,Category,City,Image File,Status
2026-06-24,112,Kesha: The Freedom Tour,Hersheypark Stadium,"Saturday, August 15, 2026",music,Hershey,,draft
2026-06-24,113,Pitbull: I'm Back,Hersheypark Stadium,"Saturday, August 22, 2026",music,Hershey,,draft
2026-06-24,114,Iron Maiden: Run For Your Lives World Tour,Hersheypark Stadium,"Tuesday, September 15, 2026",music,Hershey,,draft
2026-06-24,115,Everclear at Appell Center,Appell Center — Strand Theatre,"Friday, September 25, 2026",music,York,,draft
2026-06-27,116,The Dolly Show — Dolly Parton Tribute at AMT,American Music Theatre,"Wednesday, July 15, 2026",music,Lancaster,,draft
2026-06-27,117,Eaglemania — World's Greatest Eagles Tribute,American Music Theatre,"Friday, July 17, 2026",music,Lancaster,,draft
2026-06-27,118,Jeremy Camp at American Music Theatre,American Music Theatre,"Friday, July 31, 2026",music,Lancaster,,draft
2026-06-27,119,Carlisle Truck Nationals,Carlisle Fairgrounds,"August 7–9, 2026",community,Carlisle,,draft
2026-06-27,120,Blue Öyster Cult at American Music Theatre,American Music Theatre,"Friday, August 21, 2026",music,Lancaster,,draft
2026-06-27,121,Corvettes at Carlisle,Carlisle Fairgrounds,"August 27–29, 2026",community,Carlisle,,draft
2026-06-27,122,East Petersburg Blues Festival,East Petersburg Civic Grounds & Community Park,"Saturday, August 29, 2026",music,East Petersburg,,draft
2026-06-27,123,Keyshia Cole at Riverfront Park,Riverfront Park,"Saturday, August 29, 2026",music,Harrisburg,,draft
2026-06-27,124,30th Annual Hanover Chili Cook Off,Moul Field,"Sunday, September 6, 2026",food,Hanover,,draft
2026-06-27,125,Dark Star Orchestra at Riverfront Park,Riverfront Park,"Friday, September 11, 2026",music,Harrisburg,,draft
2026-06-27,126,Choctoberfest — Hershey's Fall Chocolate Festival,ChocolateTowne Square Park,"Saturday, October 10, 2026",food,,,draft
2026-07-01,127,Rotary Club of Lititz Craft Show,Downtown Lititz,"Saturday, August 8, 2026",community,Lititz,,draft
2026-07-01,128,111th Annual Dillsburg Farmers Fair,Dillsburg Community Hall & Grounds,"October 12–17, 2026",heritage,Dillsburg,,draft
2026-07-01,129,Cumberland Ag Expo,Newville Lions Fairgrounds,"August 4–8, 2026",outdoors,Newville,,draft
2026-07-01,130,Perry County Community Fair,Perry County Fairgrounds,"August 15–19, 2026",family,Newport,,draft
2026-07-01,131,Patriotic Lawn Concert — Children of Gettysburg 1863,Children of Gettysburg 1863 (Rupp House),"Friday, July 17, 2026",heritage,Gettysburg,,draft
2026-07-01,132,Summer Celebration — 2nd Saturday Hanover,Downtown Hanover,"Saturday, August 8, 2026",community,Hanover,,draft
2026-07-01,133,Hanover Restaurant Week,Participating Downtown Hanover Restaurants,"August 8–22, 2026",food,,,draft
2026-07-01,134,49th Annual Red Lion Street Fair,Downtown Red Lion,"Saturday, August 8, 2026",community,Red Lion,,draft
2026-07-01,135,Sugar Rush — Sweet & Snack Expo,York Expo Center — Old Main,"Saturday, August 15, 2026",food,York,,draft
2026-07-01,136,What The Food Trucks — Labor Day Edition,Penn Park,"Sunday, September 6, 2026",food,York,,draft
2026-07-03,137,Wrightsville's America 250 Birthday Celebration,Wrightsville Riverfront Park,"Saturday, July 4, 2026",festival,Wrightsville,,expired
2026-07-03,138,Food Trucks and Flicks: How to Train Your Dragon,Cousler Park,"Friday, July 10, 2026",family,York,,expired
2026-07-03,139,Mechanicsburg Community Day,Soldiers & Sailors Memorial Park,"Saturday, August 1, 2026",family,Mechanicsburg,,draft
2026-07-03,140,Dear Soldier Boy — Bird-in-Hand Stage,Bird-in-Hand Stage,"Opens Tuesday, August 4, 2026",heritage,Bird-in-Hand,,live
2026-07-03,141,Lititz recCenter Triathlon & Bike/Run,Lititz recCenter,"Sunday, August 9, 2026",outdoors,Lititz,,live
2026-07-03,142,Concerts by the Creek — The Nobles & Improvement Movement,Thomas P. Grater Community Park,"Tuesday, August 11, 2026",music,Ephrata,,draft
2026-07-03,143,Shrewsbury Kickin' Ash Country Music Bash,Shrewsbury Volunteer Fire Company,"Saturday, August 15, 2026",music,Shrewsbury,,live
2026-07-03,144,Dogstar at Hershey Theatre,Hershey Theatre,"Tuesday, August 18, 2026",music,Hershey,,live
2026-07-03,145,The Wiggles: Tree of Wisdom Spectacular,Hershey Theatre,"Wednesday, August 19, 2026",family,Hershey,,live
2026-07-03,146,"Bird-in-Hand Half Marathon, 5K & Kids Fun Run",Bird-in-Hand,"Friday–Saturday, September 11–12, 2026",outdoors,Bird-in-Hand,,live
2026-07-08,147,Ephrata Fair,Uptown Ephrata,"Tuesday–Saturday, September 22–26, 2026",heritage,Ephrata,,live
2026-07-08,148,New Freedom Fest,Freedom Green,"Saturday, September 19, 2026",community,New Freedom,,live
2026-07-08,149,Oktoberfest Bites & Brews Stroll — 2nd Saturday Hanover,Downtown Hanover,"Saturday, September 12, 2026",food,Hanover,,draft
2026-07-08,150,"Corvette Parade, Park & Party",Downtown Carlisle (The Square),"Saturday, August 29, 2026",community,Carlisle,,draft
2026-07-08,151,Covered Bridge Classic,Lancaster County (multiple start locations),"Sunday, August 16, 2026",outdoors,Lititz,,live
2026-07-08,152,Tiffany's Pink Pedal Ride,Penn State Health Breast Center,"Saturday, August 8, 2026",outdoors,Hershey,,live
2026-07-08,153,New Holland Farmers Fair,Downtown New Holland,"Wednesday–Saturday, September 30 – October 3, 2026",heritage,New Holland,,live
2026-07-08,154,Glen Rock Fall Festival,Glen Rock,"Saturday, September 26, 2026",community,Glen Rock,,draft
2026-07-08,155,Lyn's Cars Against Cancer,Manheim Township Community Park,"Saturday, August 29, 2026",outdoors,Lancaster,,draft
2026-07-08,156,Shrewsbury Fireman's Fall Fest,Shrewsbury Volunteer Fire Company,"Saturday, October 3, 2026",festival,Shrewsbury,,live
2026-07-08,157,July Music Series at Reservoir Park — Gospel Night,Reservoir Park Bandshell,"Monday, July 13, 2026",music,Harrisburg,,expired
2026-07-08,158,July Music Series at Reservoir Park — Jazz Under the Stars ft. Najee,Reservoir Park Bandshell,"Sunday, July 19, 2026",music,Harrisburg,,live
2026-07-08,159,July Music Series at Reservoir Park — Latin Afro/Soul Night ft. Lakeside,Reservoir Park Bandshell,"Sunday, July 26, 2026",music,Harrisburg,,live
2026-07-08,160,Tiny Park Concert Series — Sons of Pitches,Coronet Park,"Friday, July 10, 2026",music,Harrisburg,,expired
2026-07-08,161,Tiny Park Concert Series — Le Ghast,Coronet Park,"Friday, August 14, 2026",music,Harrisburg,,live
2026-07-08,162,Tiny Park Concert Series — RalphReal & The Family Jam,Coronet Park,"Friday, September 11, 2026",music,Harrisburg,,live
2026-07-08,163,Greenfield Summer Concert Series — Sounds of Summer,Greenfield — Calvin G. High Pavilion Lawn,"Thursday, July 16, 2026",music,Lancaster,,live
2026-07-08,164,Greenfield Summer Concert Series — '70s Live!,Greenfield — Calvin G. High Pavilion Lawn,"Thursday, August 13, 2026",music,Lancaster,,live
2026-07-10,165,South Mountain Fair,South Mountain Fairgrounds,"July 21–25, 2026",festival,Biglerville,,live
2026-07-10,166,Gettysburg National 19th Century Base Ball Festival,Schroeder Family Farm,"July 18–19, 2026",heritage,Gettysburg,,live
2026-07-10,167,Peach Festival at Hollabaugh Bros.,Hollabaugh Bros. Fruit Farm & Market,"August 8–9, 2026",food,Biglerville,,live
2026-07-10,168,Dueling Decades Fest,Carlisle Fairgrounds,"Saturday, September 12, 2026",music,Carlisle,,live
2026-07-10,169,Whoopie Pie Festival,Hershey Farm Resort,"Saturday, September 12, 2026",food,Ronks,,live
2026-07-10,170,Pennsylvania Tea Festival,The Rosemary House & Sweet Remembrances Tea Room,"September 18–19, 2026",food,Mechanicsburg,,live
2026-07-10,171,Hummelstown Arts Festival,Historic Downtown Hummelstown,"Saturday, September 19, 2026",school,Hummelstown,,live
2026-07-10,172,L'Italia Festival,Downtown Lititz (E. Main Street),"Saturday, September 19, 2026",heritage,Lititz,,live
2026-07-10,173,The Denver Fair,Denver Memorial Park,"September 15–19, 2026",festival,Denver,,live
2026-07-10,174,Lititz Craft Beer Fest,TAIT,"Saturday, September 26, 2026",food,Lititz,,live
2026-07-10,175,Flower Festival at Cherry Crest Adventure Farm,Cherry Crest Adventure Farm,"Saturday, September 5, 2026",family,Ronks,,draft
2026-07-10,176,Bird-in-Hand Hot Air Balloon Festival,Bird-in-Hand Event Field,"September 25–26, 2026",festival,Bird-in-Hand,,draft
2026-07-10,177,Upper Allen Township Fall Festival,Winding Hill Park North,"Friday, September 25, 2026",community,Mechanicsburg,,draft
2026-07-15,66,MLB All-Star Game 2026 — Philadelphia,Citizens Bank Park,"Tuesday, July 14, 2026",community,Philadelphia,,expired
2026-07-15,178,Saturday in the Park — Springettsbury Township,Springettsbury Township Park,"Saturday, August 2, 2026",family,York,,live
2026-07-15,179,Servant Stage: Joseph and the Amazing Technicolor Dreamcoat (Preview),Historic Ephrata Cloister — Amphitheater,"Wednesday, July 29, 2026",heritage,Ephrata,,live
2026-07-15,180,Olde Time Festival — Lisburn Community Fire Company,Lisburn Community Fire Company Fairgrounds,"August 5–8, 2026",festival,Mechanicsburg,,draft
2026-07-15,181,Cumberland Valley Fly Fishing & Outdoor Festival,TCO Boiling Springs & Children's Lake Park,"August 8–9, 2026",outdoors,Boiling Springs,,live
2026-07-15,182,Music in the Gardens — Hershey Gardens,Hershey Gardens — PNC Terrace,"Thursday, August 13, 2026",music,Hershey,,draft
2026-07-15,183,Run Wild for Wildwood 5K/10K,Wildwood Park,"Saturday, August 22, 2026",outdoors,Harrisburg,,live
2026-07-15,184,Brew Kids on the Block,Gift Horse Brewing Company,"Saturday, August 22, 2026",food,York,,live
