Venue / Organization,Contact Name,Contact Email,Phone,Instagram Handle,Photo Permission Status,Status Date,Covers Future Events?,Notes,Event Count,Events on Site
Dutch Apple Dinner Theatre,,,717-898-1900,,Not contacted,,,No general public email found — group sales only: MLease@DutchApple.com,1,Freaky Friday The Musical — Dutch Apple Dinner Theatre
East Petersburg Civic Grounds & Community Park,,,,,Not contacted,,,,1,East Petersburg Blues Festival
Elizabethtown Fairgrounds,,,(717) 367-0508,,Not contacted,,,"No email found — Elizabethtown Fair Committee, use etownfair.com/contact",1,53rd Annual Elizabethtown Fair
Ewell Plaza & Binns Park,,,,,Not contacted,,,,1,Lancaster Craft Beerfest
Fat Bat Brewing Company,,info@fatbatbrewing.com,(717) 797-3198,,Not contacted,,,,1,Fat Bat Summer Blues Festival
Fort Hunter Mansion & Park,,jreed@dauphincounty.gov,(717) 599-5188,,Not contacted,,,Dauphin County Parks — events/programs contact,2,Dauphin County BrewFest; Fort Hunter Day
Fort Hunter Park,,jreed@dauphincounty.gov,(717) 599-5188,,Not contacted,,,Dauphin County Parks — events/programs contact,1,Dauphin County Jazz & Wine Festival
Franklin & Marshall College,,,,,Not contacted,,,No specific contact found — Director of Conference & Event Services is Shawn Carty; use fandm.edu/contact,1,Lancaster International Piano Festival
Freedom Green,,,,,Not contacted,,,,1,New Freedom Fest
Glen Rock,,,,,Not contacted,,,,1,Glen Rock Fall Festival
Granite Hill Camping Resort,,,,,Not contacted,,,,1,Gettysburg Bluegrass Festival (August)
Greenfield — Calvin G. High Pavilion Lawn,,,,,Not contacted,,,,2,Greenfield Summer Concert Series — Sounds of Summer; Greenfield Summer Concert Series — '70s Live!
Hershey Farm Resort,,,,,Not contacted,,,,1,Whoopie Pie Festival
Hershey Theatre,,,(717) 534-3405,,Not contacted,,,No dedicated public email found — Hershey Entertainment box office,2,Dogstar at Hershey Theatre; The Wiggles: Tree of Wisdom Spectacular
Hersheypark,,,,,Not contacted,,,,1,Hersheypark in the Dark
Hersheypark Stadium,,,(717) 534-3911,,Not contacted,,,Media requests: hersheypark.com/media-request,7,Thomas Rhett & Niall Horan LIVE; Five Finger Death Punch: 20th Anniversary Tour; Guns N' Roses: World Tour 2026; Tyler Childers: Snipe Hunt; Kesha: The Freedom Tour; Pitbull: I'm Back; Iron Maiden: Run For Your Lives World Tour
Historic Downtown Hummelstown,,,,,Not contacted,,,,1,Hummelstown Arts Festival
Hollabaugh Bros. Fruit Farm & Market,,info@hollabaughbros.com,717.677.8412,,Not contacted,,,,1,Peach Festival at Hollabaugh Bros.
Horn Farm Center & Lower Susquehanna Riverlands,,,,,Not contacted,,,,1,Wild & Uncommon Weekend (Pawpaw Fest)
Kitchen Kettle Village,,guestservice@kitchenkettle.com,717-768-8261,,Not contacted,,,,1,Tailgate Festival at Kitchen Kettle Village
Lancaster County (multiple start locations),,,,,Not contacted,,,,1,Covered Bridge Classic
Landis Valley Village & Farm Museum,,shgladden@pa.gov,(717) 569-0401,,Not contacted,,,Email is for Site Administrator (S. Gladden),1,Landis Valley Museum Harvest Days
Lititz recCenter,,lititzrec@gmail.com,(717) 626-5096,,Not contacted,,,,1,Lititz recCenter Triathlon & Bike/Run
Long's Park,,info@longspark.org,717-735-8883,,Not contacted,,,,1,Long's Park Art Festival
Long's Park Amphitheater,,info@longspark.org,717-735-8883,,Not contacted,,,,1,Long's Park Summer Music Series
Manheim Township Community Park,,,,,Not contacted,,,,1,Lyn's Cars Against Cancer
Moul Field,,,,,Not contacted,,,,1,30th Annual Hanover Chili Cook Off
Mount Hope Estate & Winery,,,717-665-7021,,Not contacted,,,No general public email confirmed — group sales: Nicole@PaRenFaire.com. Contact form: parenfaire.com/contact.html,1,Pennsylvania Renaissance Faire
Mt. Airy Orchards,,,,,Not contacted,,,,1,Blueberry Festival & Craft Show — Mt. Airy Orchards
New Freedom,,,,,Not contacted,,,,1,Smoke on the Rail BBQ Festival
Newville Lions Fairgrounds,,,,,Not contacted,,,,1,Cumberland Ag Expo
Nissley Vineyards Winery & Estate,,winery@nissleywine.com,(717) 426-3514,,Not contacted,,,,1,Music in the Vineyards — Nissley Vineyards
"North Queen Street, Downtown Lancaster",,,,,Not contacted,,,,1,Celebrate Lancaster
PA Farm Show Complex,,,,,Not contacted,,,,1,Pennsylvania National Horse Show
Participating Downtown Hanover Restaurants,,,,,Not contacted,,,,1,Hanover Restaurant Week
Penn Park,,,,,Not contacted,,,,1,What The Food Trucks — Labor Day Edition
Penn State Health Breast Center,,,,,Not contacted,,,,1,Tiffany's Pink Pedal Ride
Perry County Fairgrounds,,perrycofairassoc@outlook.com,(717) 567-6779,,Not contacted,,,,1,Perry County Community Fair
Plain & Fancy Farm (Smokehouse at Plain & Fancy),,sales@tesincpa.com,800-791-9062,,Not contacted,,,General sales/inquiries contact,1,Live Music Nights at Plain & Fancy Farm
Reservoir Park Bandshell,,csegbert@harrisburgpa.gov,(717) 232-3017,,Not contacted,,,City of Harrisburg Parks & Rec — Chris Segbert,3,July Music Series at Reservoir Park — Gospel Night; July Music Series at Reservoir Park — Jazz Under the Stars ft. Najee; July Music Series at Reservoir Park — Latin Afro/Soul Night ft. Lakeside
Restaurants citywide,,,,,Not contacted,,,,1,Harrisburg Restaurant Week
Riverfront Park,,csegbert@harrisburgpa.gov,(717) 232-3017,,Not contacted,,,City of Harrisburg Parks & Rec — Chris Segbert,10,Joe Russo's Almost Dead at Riverfront Park; Lake Street Dive with The Dip; Dauphin County CulturalFest; The String Cheese Incident at Riverfront Park; Slightly Stoopid at Riverfront Park; Keyshia Cole at Riverfront Park; Kipona Festival; Dark Star Orchestra at Riverfront Park; Rainbow Kitten Surprise at Riverfront Park; Jason Isbell & the 400 Unit at Riverfront Park
San Juan Bautista Catholic Church,,p127sanjuan@hbgdiocese.org,717-392-4118,,Not contacted,,,,1,San Juan Bautista Hispanic Festival
Schroeder Family Farm,,,,,Not contacted,,,No dedicated email found — festival site: gettysburgbaseballfestival.com; Destination Gettysburg 1.800.337.5015,1,Gettysburg National 19th Century Base Ball Festival
Shrewsbury Volunteer Fire Company,,,,,Not contacted,,,,2,Shrewsbury Kickin' Ash Country Music Bash; Shrewsbury Fireman's Fall Fest
Soldiers & Sailors Memorial Park,,,,,Not contacted,,,,1,Mechanicsburg Community Day
South Mountain Fairgrounds,,appleharvest@embarqmail.com,(717) 677-9663,,Not contacted,,,,1,South Mountain Fair
Spooky Nook Sports,,,(717) 945-7087,,Not contacted,,,No general/media email confirmed — site has a media kit page and contact form,1,Summer Nationals Basketball — Spooky Nook
Springettsbury Township Park,,,,,Not contacted,,,,1,Enchanted Fairy Festival
TAIT,,,,,Not contacted,,,,1,Lititz Craft Beer Fest
The Belmont Theatre,,info@thebelmont.org,717.854.5715,,Not contacted,,,,1,"Dear Jack, Dear Louise — The Belmont Theatre"
The Rosemary House & Sweet Remembrances Tea Room,,,,,Not contacted,,,,1,Pennsylvania Tea Festival
Thomas P. Grater Community Park,,,,,Not contacted,,,,1,Concerts by the Creek — The Nobles & Improvement Movement
Uptown Ephrata,,,,,Not contacted,,,,1,Ephrata Fair
Washington Boro Community Park,,,,,Not contacted,,,,1,Washington Boro Tomato Festival
Winding Hill Park North,,,,,Not contacted,,,,1,Upper Allen Township Fall Festival
York County Arboretum,,,,,Not contacted,,,,1,Fall Native Plant Sale — York County Arboretum
York Expo Center,,info@yorkstatefair.org,717.848.2596,,Not contacted,,,,1,York State Fair 2026
York Expo Center — Old Main,,,,,Not contacted,,,,1,Sugar Rush — Sweet & Snack Expo
